分佈,site_id,區/鄉,大學畢業比例(%),曾經結婚比例(%),年齡中位數,所得中位數(萬元),vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote7,vote8,vote9,投票權人數
北,桃園市桃園區,桃園區,0.3044,0.6527,38.1509,69.3,0.69626928,0.648766772,0.59214651,0.432742076,0.345210982,0.361432491,0.602619364,0.789486548,0.768077129,0.788943374,171837
北,桃園市新屋區,新屋區,0.1885,0.6792,41.23,57.8,0.767734657,0.692454372,0.581966839,0.443214673,0.28003497,0.296529385,0.590729172,0.79263485,0.757875406,0.779079576,21561
北,桃園市楊梅區,楊梅區,0.2561,0.665,37.3284,63.2,0.756477519,0.698791808,0.623917275,0.371468655,0.289311362,0.31448779,0.622662198,0.817220704,0.790802744,0.807231118,66211
北,桃園市中壢區,中壢區,0.2925,0.6595,38,66.8,0.724656539,0.678411751,0.614462372,0.386179842,0.316003013,0.329344898,0.615143827,0.810129251,0.789725042,0.808370444,166034
北,新北市八里區,八里區,0.2018,0.6459,40.9849,56.3,0.720220941,0.668772183,0.579055318,0.455102041,0.341789864,0.346718664,0.585784623,0.784076158,0.752480844,0.774419759,16177
北,新北市板橋區,板橋區,0.281,0.6403,40.3079,62.8,0.695120366,0.654944716,0.608909516,0.474448637,0.357967023,0.365273866,0.579894121,0.769651808,0.74977222,0.767794593,238604
北,新北市淡水區,淡水區,0.3185,0.6499,42.1609,64.8,0.693218715,0.656408212,0.598653298,0.421044251,0.363150238,0.358956334,0.593258802,0.786751198,0.770217141,0.783224101,72399
北,新北市貢寮區,貢寮區,0.1225,0.7178,48,50.3,0.754753258,0.672067401,0.577375763,0.546552077,0.305629433,0.317438997,0.496089622,0.754790146,0.730982019,0.74438007,4384
北,新北市金山區,金山區,0.1572,0.6683,42.3189,49.5,0.748725338,0.676375405,0.588672447,0.478406055,0.308676436,0.3743848,0.566736063,0.786525881,0.758384589,0.762609903,8713
北,新北市林口區,林口區,0.3398,0.6642,38.2985,75.8,0.683088899,0.644814153,0.593414196,0.423119777,0.355736459,0.367649621,0.598874205,0.792549916,0.768456227,0.794380194,45476
北,新北市蘆洲區,蘆洲區,0.2282,0.6213,38.7461,58.2,0.692305015,0.637186833,0.581780223,0.500093484,0.359458534,0.372376495,0.575893519,0.766454533,0.745465026,0.764981057,82181
北,新北市平溪區,平溪區,0.0875,0.7372,53.1061,52.3,0.804270463,0.708032956,0.634044768,0.517676768,0.279529663,0.296637744,0.592889908,0.776086957,0.748876404,0.755011136,1840
北,新北市坪林區,坪林區,0.1374,0.7103,50,54.8,0.77254902,0.693884892,0.611487692,0.533103448,0.303074671,0.329299597,0.598440546,0.795019157,0.76,0.758741259,2610
北,新北市瑞芳區,瑞芳區,0.1462,0.6575,45,52.6,0.744013366,0.669251287,0.595969229,0.458854712,0.314498662,0.33343949,0.592985264,0.788416839,0.76755495,0.772615025,15488
